event_id,event_date,event_title,location_description,location_accuracy,landslide_trigger,landslide_size,landslide_category,fatality_count,country_name,admin_division_name,source_name,source_link,latitude,longitude
10974,04/05/2017 01:19:00 PM,Fatal landslide in Bonda,"Bonda, Guwahati, Assam, India",5km,continuous_rain,medium,landslide,2,,,The Echo of India,http://echoofindia.com/guwahati-landslide-kills-2-labourers-guwahati-3-die-lightning-strikes-across-assam-125768,26.16066111,91.85294885
11152,04/06/2017 01:19:00 PM,Landslide in Sirakhong,"Sirakhong, Ukhrul Central, Ukhrul, Manipur State, India",exact,unknown,medium,landslide,0,,,Dailyworld,https://dailyworld.in/houses-damaged-in-landslide-in-imphal/,25.08303063,94.23757741
11154,04/07/2017 01:19:00 PM,Landslide blocks NH-29 between Pherima and Phiphema,"Medziphema, Dimapur, Nagaland",5km,rain,small,landslide,0,,,Nagaland Post,http://www.nagalandpost.com/ChannelNews/State/StateNews.aspx?news=TkVXUzEwMDExMjUzMQ%3D%3D,25.77171292,93.93507183
11173,04/22/2017 06:27:00 PM,Landslide at IMC Ward Number 18,"IMC ward #18 (??), Lower Subansiri, Arunachal Pradesh",10km,monsoon,small,landslide,0,,,The Dawnlit Post,https://thedawnlitpost.com/house-damaged-in-landslide/,27.61790706,93.84196894
11174,04/22/2017 06:27:00 PM,Fatal landslide near Palin,"Palin, Kurung Kumey, Arunachal Pradesh",1km,continuous_rain,small,landslide,3,,,The Northeast Today,https://thenortheasttoday.com/arunachal-pradesh-three-assam-labourers-killed-in-a-landslide/,27.6802471,93.62592773
10961,04/25/2017 05:58:00 PM,Landslide blocks NH-54,"NH-54, North Thingdawl, Kolasib, Mizoram, 796075",50km,continuous_rain,small,landslide,0,,,Outlook India,https://www.outlookindia.com/newsscroll/landslides-after-heavy-premonsoon-rain-in-mizoram/1035823,24.0135808,92.67420963
11171,04/26/2017 01:17:00 PM,Landslide on Senki View road,"Senki View, Itanagar, Papum Pare, Arunachal Pradesh, India",1km,continuous_rain,small,landslide,0,,,Hindustan Times,http://www.hindustantimes.com/india-news/floods-landslides-hit-arunachal-capital-itanagar-following-heavy-rains/story-0FRcHVbMWVXWXotUXVBVuI.html,27.104022,93.61156568
10975,04/29/2017 01:17:00 PM,Fatal landslide in Makhim village,"Makhim (??), West Karbi Anglong, Assam",25km,continuous_rain,medium,landslide,3,,,India Blooms,http://www.indiablooms.com/ibns_new/news-details/N/30787/assam-three-children-die-in-landslide-in-west-karbi-anglong.html,25.61919207,92.7094701
11175,05/03/2017 02:05:00 PM,Fatal landslide in Yangte,"Yangte, Kra Daadi District, Arunachal Pradesh, India",1km,rain,medium,landslide,1,,,Echo of Arunachal,http://echoofarunachal.in/newecho/2017/05/16/one-dies-in-landslide/,27.82743132,93.62407259
11156,05/16/2017 02:05:00 PM,Landslide on NH-29 between Dimapur and Kohima,"NH-29, Sechu (Zubza), Kohima, Nagaland, 797002",1km,continuous_rain,small,landslide,0,,,The Northeast Today,https://thenortheasttoday.com/nagaland-heavy-rainfall-and-landslide-massively-damages-nh-29/,25.73318099,93.99655231
